"K"	"sig_ly"	"sig_lxy"	"n"	"prop_rejected"
"154"	20	0.005	0.1	100	0.68
"155"	20	0.005	0.1	1000	0.71
"156"	20	0.005	0.1	10000	0.7
"157"	20	0.1	0.05	100	0.68
"158"	20	0.1	0.05	1000	0.64
"159"	20	0.1	0.05	10000	0.65
"160"	20	0.05	0.05	100	0.65
"161"	20	0.05	0.05	1000	0.57
"162"	20	0.05	0.05	10000	0.62
"163"	20	0.01	0.05	100	0.61
"164"	20	0.01	0.05	1000	0.59
"165"	20	0.01	0.05	10000	0.59
"166"	20	0.005	0.05	100	0.63
"167"	20	0.005	0.05	1000	0.62
"168"	20	0.005	0.05	10000	0.63
"169"	20	0.1	0.01	100	0.58
"170"	20	0.1	0.01	1000	0.67
"171"	20	0.1	0.01	10000	0.63
"172"	20	0.05	0.01	100	0.47
"173"	20	0.05	0.01	1000	0.5
"174"	20	0.05	0.01	10000	0.51
"175"	20	0.01	0.01	100	0.36
"176"	20	0.01	0.01	1000	0.2
"177"	20	0.01	0.01	10000	0.22
"178"	20	0.005	0.01	100	0.34
"179"	20	0.005	0.01	1000	0.19
"180"	20	0.005	0.01	10000	0.21
"181"	20	0.1	0.005	100	0.55
"182"	20	0.1	0.005	1000	0.64
"183"	20	0.1	0.005	10000	0.68
"184"	20	0.05	0.005	100	0.51
"185"	20	0.05	0.005	1000	0.54
"186"	20	0.05	0.005	10000	0.57
"187"	20	0.01	0.005	100	0.2
"188"	20	0.01	0.005	1000	0.19
"189"	20	0.01	0.005	10000	0.18
"190"	20	0.005	0.005	100	0.23
"191"	20	0.005	0.005	1000	0.06
"192"	20	0.005	0.005	10000	0.12
